0,1
0,6
1,6
2,2
3,1
4,1
5,5
6,4
7,5
8,4
9,2
10,3
11,6
12,4
13,1
14,4
15,1
16,2
17,3
18,4
19,2
20,1
21,5
22,2
23,2
24,4
25,5
26,5
27,3
28,2
29,5
30,1
31,6
32,5
33,5
34,6
35,3
36,3
37,3
38,4
39,5
40,6
41,6
42,1
43,1
44,5
45,3
46,6
47,6
48,1
49,4
50,1
51,2
52,2
53,4
54,5
55,4
56,4
57,2
58,6
59,5
60,2
61,4
62,5
63,3
64,2
65,1
66,2
67,2
68,2
69,5
70,4
71,6
72,1
73,1
74,6
75,2
76,6
77,6
78,3
79,6
80,3
81,2
82,6
83,2
84,6
85,1
86,3
87,6
88,3
89,1
90,5
91,3
92,5
93,6
94,1
95,5
96,6
97,2
98,5
99,2
100,5
101,1
102,3
103,5
104,3
105,5
106,6
107,2
108,4
109,2
110,4
111,5
112,4
113,2
114,6
115,3
116,6
117,5
118,5
119,6
120,2
121,5
122,1
123,4
124,5
125,4
126,3
127,3
128,4
129,4
130,5
131,2
132,2
133,5
134,6
135,5
136,1
137,6
138,6
139,4
140,3
141,2
142,2
143,1
144,4
145,3
146,5
147,1
148,5
149,4
150,1
151,6
152,6
153,5
154,6
155,1
156,3
157,2
158,5
159,6
160,1
161,5
162,4
163,5
164,1
165,3
166,6
167,5
168,3
169,6
170,3
171,3
172,3
173,6
174,3
175,2
176,5
177,1
178,5
179,6
180,3
181,6
182,4
183,6
184,5
185,5
186,2
187,1
188,6
189,3
190,6
191,5
192,4
193,6
194,6
195,6
196,1
197,5
198,6
199,1
200,5
201,3
202,1
203,2
204,4
205,4
206,5
207,6
208,6
209,2
210,2
211,3
212,4
213,4
214,5
215,5
216,3
217,3
218,4
219,2
220,4
221,5
222,1
223,5
224,1
225,6
226,5
227,6
228,6
229,4
230,2
231,2
232,2
233,3
234,3
235,6
236,5
237,2
238,2
239,3
240,5
241,4
242,4
243,5
244,1
245,3
246,5
247,4
248,1
249,3
250,6
251,5
252,6
253,4
254,4
255,1
256,6
257,4
258,5
259,5
260,6
261,1
262,1
263,3
264,5
265,4
266,5
267,3
268,4
269,4
270,5
271,4
272,2
273,4
274,5
275,5
276,2
277,4
278,2
279,1
280,3
281,3
282,2
283,1
284,4
285,4
286,2
287,1
288,1
289,4
290,5
291,2
292,3
293,5
294,1
295,1
296,1
297,6
298,3
299,2
300,4
301,5
302,2
303,5
304,1
305,1
306,6
307,4
308,6
309,6
310,6
311,4
312,5
313,4
314,5
315,1
316,4
317,1
318,2
319,1
320,2
321,3
322,2
323,5
324,1
325,5
326,4
327,2
328,5
329,1
330,2
331,1
332,3
333,5
334,6
335,3
336,1
337,1
338,6
339,3
340,1
341,6
342,5
343,4
344,2
345,4
346,4
347,1
348,6
349,5
350,6
